lat,lon,rainfall,temp,humidity,dist_river,element,id,landuse,building_density
30.25,77.95,73,307.95,10,594.0476717568863,way,781622440,residential,0.0
30.25,77.97,0,307.98,10,756.1360712311946,way,1120986164,grass,0.0
30.25,77.99,0,307.98,10,155.59931281300777,way,1188616709,military,0.0
30.25,78.00999999999999,96,308.21,10,484.59466822150375,way,1188616709,military,0.0
30.25,78.02999999999999,27,308.49,10,319.5121849138776,way,627228950,residential,0.0
30.25,78.04999999999998,59,308.49,10,306.5717269584724,way,627223160,industrial,0.0
30.25,78.06999999999998,13,308.07,11,1151.1034955697555,way,979815786,retail,0.0
30.25,78.08999999999997,31,308.07,11,298.33038677795525,way,1251915924,commercial,0.0
30.25,78.10999999999997,75,308.19,11,300.96830899150234,way,572493808,residential,0.0
30.25,78.12999999999997,0,307.95,11,659.4886928412066,way,572493808,residential,0.0
30.25,78.14999999999996,0,307.95,11,20.8174059062857,way,996063147,residential,0.0
30.27,77.95,94,308.63,10,936.625194997008,way,781622440,residential,0.0
30.27,77.97,25,308.56,10,396.43062706202284,way,781622451,residential,0.0
30.27,77.99,0,308.56,10,518.4474619377169,way,1120986164,grass,27.0
30.27,78.00999999999999,0,308.32,11,169.6371714105647,way,627251722,military,0.0
30.27,78.02999999999999,0,308.16,11,755.1508823283593,way,627259262,residential,3.0
30.27,78.04999999999998,50,308.16,11,23.86134629160804,way,627211504,residential,11.0
30.27,78.06999999999998,0,307.9,11,1075.4400108035597,way,979815786,retail,7.0
30.27,78.08999999999997,0,307.9,11,204.27578243124864,way,979815784,residential,0.0
30.27,78.10999999999997,0,307.77,11,1778.6031778313704,way,572493808,residential,0.0
30.27,78.12999999999997,32,307.63,11,70.10685086516679,way,996070031,residential,0.0
30.27,78.14999999999996,0,307.63,11,1194.7022733914923,way,996070031,residential,0.0
30.29,77.95,0,308.63,10,385.363103607031,way,781622429,grass,0.0
30.29,77.97,0,308.56,10,126.85359300862,way,781622429,grass,0.0
30.29,77.99,84,308.56,10,803.23438040177,way,245313695,forest,0.0
30.29,78.00999999999999,0,308.32,11,624.1421228193861,way,1120990367,grass,0.0
30.29,78.02999999999999,96,308.16,11,1243.6659456258026,way,177946851,railway,1.0
30.29,78.04999999999998,88,308.16,11,303.8425279633867,way,1263980658,farmland,2.0
30.29,78.06999999999998,0,307.9,11,1240.7530717728073,way,1263980657,farmland,99.0
30.29,78.08999999999997,0,307.9,11,371.5945243847609,way,979815779,residential,0.0
30.29,78.10999999999997,0,307.77,11,831.9422751431736,way,226781605,reservoir,0.0
30.29,78.12999999999997,20,307.63,11,264.8611370393936,way,996070031,residential,0.0
30.29,78.14999999999996,0,307.63,11,1097.0392709011892,way,996070025,residential,0.0
30.31,77.95,0,308.59,10,1072.4243569694468,way,234946599,residential,0.0
30.31,77.97,0,308.3,10,1958.880920028085,way,234946599,residential,0.0
30.31,77.99,8,308.3,10,831.8593239199473,way,234946599,residential,7.0
30.31,78.00999999999999,100,308.0,11,545.6431797281515,way,552597168,residential,3.0
30.31,78.02999999999999,9,307.77,11,1212.3649747981085,way,673302307,farmland,0.0
30.31,78.04999999999998,0,307.77,11,1135.211991516066,way,422131612,cemetery,9.0
30.31,78.06999999999998,0,307.46,11,475.79344829884326,way,763520656,residential,804.0
30.31,78.08999999999997,0,307.46,11,359.79426100075,way,1437088817,residential,80.0
30.31,78.08999999999997,0,307.46,11,359.79426100075,way,1437088817,residential,80.0
30.31,78.10999999999997,0,306.89,11,594.8076262473708,way,226781605,reservoir,0.0
30.31,78.12999999999997,0,305.37,12,1300.3414054173163,way,226781605,reservoir,0.0
30.31,78.14999999999996,5,305.37,12,982.141977437188,way,996070025,residential,0.0
30.33,77.95,57,308.35,10,1193.3501502167856,way,132610154,forest,0.0
30.33,77.95,57,308.35,10,1193.3501502167856,way,132610154,forest,0.0
30.33,77.97,0,308.18,11,1253.9332976022915,way,390949462,industrial,42.0
30.33,77.99,19,308.18,11,2263.1856776300538,way,231619854,forest,145.0
30.33,78.00999999999999,0,307.94,11,988.9661848310616,way,231619854,forest,24.0
30.33,78.02999999999999,0,307.29,11,331.742493204943,way,898877756,construction,66.0
30.33,78.04999999999998,0,307.29,11,596.1788850580663,way,1154415138,forest,94.0
30.33,78.04999999999998,0,307.29,11,596.1788850580663,way,1154415138,forest,94.0
30.33,78.06999999999998,64,306.91,12,57.78660875576428,way,842095440,grass,5.0
30.33,78.08999999999997,63,306.91,12,635.2525986473019,way,1437088817,residential,88.0
30.33,78.08999999999997,63,306.91,12,635.2525986473019,way,1437088817,residential,88.0
30.33,78.10999999999997,98,306.6,12,4.1159302659002,way,996065765,residential,0.0
30.33,78.12999999999997,0,305.47,13,910.0214833602106,way,996065764,residential,0.0
30.33,78.14999999999996,79,305.47,13,721.8734881844462,way,996065764,residential,0.0
30.35,77.95,0,308.35,10,459.0624744923271,way,132610154,forest,0.0
30.35,77.95,0,308.35,10,459.0624744923271,way,132610154,forest,0.0
30.35,77.97,0,308.18,11,159.0009501118783,way,132610154,forest,2.0
30.35,77.97,0,308.18,11,159.0009501118783,way,132610154,forest,2.0
30.35,77.99,61,308.18,11,215.627137275748,way,302589615,forest,1.0
30.35,78.00999999999999,0,307.94,11,708.2760149664928,way,231619854,forest,45.0
30.35,78.02999999999999,80,307.29,11,916.6127571460032,way,330689763,military,89.0
30.35,78.04999999999998,58,307.29,11,249.8343948372418,way,343136085,commercial,131.0
30.35,78.06999999999998,0,306.91,12,259.85332905857314,way,1102993478,forest,462.0
30.35,78.08999999999997,65,306.91,12,420.12391448532,way,1436844182,grass,1.0
30.35,78.10999999999997,0,306.6,12,262.7903616908776,way,996065764,residential,0.0
30.35,78.12999999999997,0,305.47,13,661.6685347269495,way,996065764,residential,0.0
