lat,lon,rainfall,temp,humidity
30.25,77.95,73,307.95,10
30.25,77.97,0,307.98,10
30.25,77.99,0,307.98,10
30.25,78.00999999999999,96,308.21,10
30.25,78.02999999999999,27,308.49,10
30.25,78.04999999999998,59,308.49,10
30.25,78.06999999999998,13,308.07,11
30.25,78.08999999999997,31,308.07,11
30.25,78.10999999999997,75,308.19,11
30.25,78.12999999999997,0,307.95,11
30.25,78.14999999999996,0,307.95,11
30.27,77.95,94,308.63,10
30.27,77.97,25,308.56,10
30.27,77.99,0,308.56,10
30.27,78.00999999999999,0,308.32,11
30.27,78.02999999999999,0,308.16,11
30.27,78.04999999999998,50,308.16,11
30.27,78.06999999999998,0,307.9,11
30.27,78.08999999999997,0,307.9,11
30.27,78.10999999999997,0,307.77,11
30.27,78.12999999999997,32,307.63,11
30.27,78.14999999999996,0,307.63,11
30.29,77.95,0,308.63,10
30.29,77.97,0,308.56,10
30.29,77.99,84,308.56,10
30.29,78.00999999999999,0,308.32,11
30.29,78.02999999999999,96,308.16,11
30.29,78.04999999999998,88,308.16,11
30.29,78.06999999999998,0,307.9,11
30.29,78.08999999999997,0,307.9,11
30.29,78.10999999999997,0,307.77,11
30.29,78.12999999999997,20,307.63,11
30.29,78.14999999999996,0,307.63,11
30.31,77.95,0,308.59,10
30.31,77.97,0,308.3,10
30.31,77.99,8,308.3,10
30.31,78.00999999999999,100,308.0,11
30.31,78.02999999999999,9,307.77,11
30.31,78.04999999999998,0,307.77,11
30.31,78.06999999999998,0,307.46,11
30.31,78.08999999999997,0,307.46,11
30.31,78.10999999999997,0,306.89,11
30.31,78.12999999999997,0,305.37,12
30.31,78.14999999999996,5,305.37,12
30.33,77.95,57,308.35,10
30.33,77.97,0,308.18,11
30.33,77.99,19,308.18,11
30.33,78.00999999999999,0,307.94,11
30.33,78.02999999999999,0,307.29,11
30.33,78.04999999999998,0,307.29,11
30.33,78.06999999999998,64,306.91,12
30.33,78.08999999999997,63,306.91,12
30.33,78.10999999999997,98,306.6,12
30.33,78.12999999999997,0,305.47,13
30.33,78.14999999999996,79,305.47,13
30.35,77.95,0,308.35,10
30.35,77.97,0,308.18,11
30.35,77.99,61,308.18,11
30.35,78.00999999999999,0,307.94,11
30.35,78.02999999999999,80,307.29,11
30.35,78.04999999999998,58,307.29,11
30.35,78.06999999999998,0,306.91,12
30.35,78.08999999999997,65,306.91,12
30.35,78.10999999999997,0,306.6,12
30.35,78.12999999999997,0,305.47,13
30.35,78.14999999999996,76,305.47,13
30.37,77.95,91,307.83,11
30.37,77.97,53,307.46,11
30.37,77.99,44,307.46,11
30.37,78.00999999999999,0,307.11,11
30.37,78.02999999999999,82,306.17,12
30.37,78.04999999999998,0,306.17,12
30.37,78.06999999999998,0,306.29,12
30.37,78.08999999999997,0,306.29,12
30.37,78.10999999999997,0,305.9,13
30.37,78.12999999999997,0,304.17,14
30.37,78.14999999999996,0,304.17,14
30.39,77.95,50,307.43,11
30.39,77.97,0,306.73,11
30.39,77.99,0,306.73,11
30.39,78.00999999999999,0,306.82,12
30.39,78.02999999999999,48,306.54,12
30.39,78.04999999999998,71,306.54,12
30.39,78.06999999999998,0,305.55,13
30.39,78.08999999999997,0,305.55,13
30.39,78.10999999999997,0,304.58,13
30.39,78.12999999999997,0,303.37,15
30.39,78.14999999999996,0,303.37,15
30.41,77.95,0,306.18,11
30.41,77.97,24,305.49,11
30.41,77.99,0,305.49,11
30.41,78.00999999999999,0,304.12,12
30.41,78.02999999999999,0,303.35,13
30.41,78.04999999999998,0,303.35,13
30.41,78.06999999999998,0,301.63,13
30.41,78.08999999999997,0,301.63,13
30.41,78.10999999999997,55,300.17,14
30.41,78.12999999999997,62,300.15,16
30.41,78.14999999999996,0,300.15,16
30.43,77.95,0,306.18,11
30.43,77.97,70,305.49,11
30.43,77.99,0,305.49,11
30.43,78.00999999999999,0,304.12,12
30.43,78.02999999999999,55,303.35,13
30.43,78.04999999999998,0,303.35,13
30.43,78.06999999999998,0,301.63,13
30.43,78.08999999999997,0,301.63,13
30.43,78.10999999999997,0,300.17,14
30.43,78.12999999999997,0,300.15,16
30.43,78.14999999999996,64,300.15,16
30.45,77.95,37,304.48,11
30.45,77.97,0,299.18,12
30.45,77.99,57,299.18,12
30.45,78.00999999999999,0,300.88,12
30.45,78.02999999999999,0,298.44,13
30.45,78.04999999999998,0,298.44,13
30.45,78.06999999999998,0,297.48,14
30.45,78.08999999999997,0,297.48,14
30.45,78.10999999999997,0,297.13,15
30.45,78.12999999999997,0,298.34,17
30.45,78.14999999999996,0,298.34,17
